toolId;FHPY;PYLINT
AAI;1;-
AB;-;1
ABIS;-;1
ACI;-;1
ACLU;-;1
ACNU;-;1
AD;-;1
ADOI;-;1
AE;-;1
AFN;-;1
AFNR;-;1
AM;-;1
AMBD;-;1
ANS;-;1
AOT;-;1
AUEIS;-;1
B;-;1
BB;-;1
BC;-;1
BCA;-;1
BCM;-;1
BD;-;1
BE;1;2
BEC;-;1
BEO;-;1
BFC;-;1
BFS;-;1
BFSK;-;1
BI;-;1
BIO;-;1
BMCA;-;1
BMMA;-;1
BN;-;1
BOE;-;1
BOM;-;1
BOV;-;1
BRS;-;1
BSA;-;1
BSC;-;1
BSSC;-;1
BT;1;-
BW;-;1
BaB;-;1
BoC;1;-
BrE;-;1
BuB;-;1
CB;-;1
CI;-;1
CM;-;1
CNE;-;1
CVFL;-;1
CoB;-;1
CoM;-;1
DA;1;-
DAN;-;1
DC;-;1
DDV;1;2
DIM;-;1
DK;-;1
DL;-;1
DM;-;1
DP;-;1
DVM;-;1
DeM;-;1
EB;-;1
ED;-;1
ENA;-;1
EU;-;1
ExU;-;1
F;-;1
FB;-;1
FCS;-;1
FI;-;1
FNM;-;1
FR;-;1
Fi;-;1
GAML;-;1
GM;-;1
GS;-;1
GVNA;-;1
GVU;-;1
HM;-;1
IAO;-;1
IB;-;1
IBM;-;1
IE;-;1
IED;-;1
IFI;-;1
IIG;-;1
IINC;-;1
IME;-;1
IN;-;1
INC;-;1
INI;-;1
IS;-;1
ISI;-;1
ISO;-;1
InE;-;1
InS;-;1
InSI;-;1
LB;-;1
LD;-;1
LE;-;1
LFI;-;1
LFT;-;1
LLS;-;1
LNL;-;1
LS;-;1
LTFA;-;1
LTL;2;1
LTMA;-;1
LUF;-;1
LoE;-;1
MA;-;1
MCF;-;1
MD;-;1
MF;-;1
MFA;-;1
MFAK;-;1
MFN;-;1
MFS;-;1
MFSK;-;1
MH;-;1
MI;-;1
MIM;-;1
MK;-;1
MLE;-;1
MMA;-;1
MRA;-;1
MS;1;2
MSA;-;1
MeN;1;-
MoN;1;-
NAI;-;1
NC;-;1
NE;-;1
NI;-;1
NIL;-;1
NIR;-;1
NM;-;1
NMA;-;1
NMC;-;1
NNIM;-;1
NO;-;1
NPIC;-;1
NR;-;1
NSA;-;1
NSU;-;1
NVFP;-;1
NoC;1;-
NoM;-;1
OC;1;-
OD;-;1
OM;-;1
ONO;-;1
OOL;-;1
ORS;1;2
OSC;1;2
PA;-;1
PE;-;1
POOC;-;1
PS;-;1
PSS;-;1
PU;-;1
PoE;-;1
PrS;-;1
R;-;1
RAIG;-;1
RB;-;1
RBT;-;1
RCF;-;1
RI;1;2
RIH;-;1
RII;-;1
RKA;-;1
RNE;-;1
ROF;-;1
RON;-;1
RS;1;2
RUA;-;1
ReB;-;1
RedB;-;1
RelB;-;1
RoB;-;1
SA;-;1
SB;-;1
SD;-;1
SE;-;1
SFC;1;-
SI;1;-
SINC;-;1
SM;-;1
SOOC;-;1
SP;-;1
SSP;1;-
SSS;1;-
SuM;-;1
SuOOC;-;1
TFFA;-;1
TFPM;-;1
TFS;-;1
TI;1;-
TMA;-;1
TMB;-;1
TMFA;-;1
TMIA;-;1
TML;-;1
TMPM;-;1
TMRS;-;1
TMS;-;1
TW;-;1
ToMA;-;1
ToMFA;-;1
ToML;-;1
U;-;1
UA;-;1
UAV;-;1
UB;-;1
UBA;-;1
UEOL;-;1
UFSA;-;1
UFSK;-;1
UI;-;1
UIE;-;1
UIO;-;1
UKA;-;1
UL;-;1
ULEF;-;1
ULV;-;1
UNS;-;1
UP;-;1
US;-;1
UTU;-;1
UV;-;1
UWI;-;1
UnI;-;1
UnV;-;1
UsS;-;1
WI;1;2
WSIC;-;1
WSID;-;1
XB;-;1
YOF;-;1
